cep,logradouro,complemento,bairro,id_cidade,id_estado,lat,lon
12312570,"Rua Luis Vaz de Camões","","Jardim Santa Marina",4595,26,-23.2942692,-45.9283425
12312575,"Rua Antônio Callado","","Jardim Santa Marina",4595,26,-23.2945195,-45.9279173
12312580,"Rua Miguel Torga","","Jardim Santa Marina",4595,26,-23.294913,-45.9275829
12312585,"Rua Visconde de Taunay","","Jardim Santa Marina",4595,26,-23.2987827,-45.9662542
12312590,"Rua Paulo Leminski","","Jardim Santa Marina",4595,26,-23.2956038,-45.9268585
12312595,"Rua César Camara de Lima Campos","","Jardim Santa Marina",4595,26,-23.2959711,-45.9265177
12312600,"Rua Willian Shakespeare","","Jardim Santa Marina",4595,26,-23.2987827,-45.9662542
12312605,"Avenida José Fortes Rangel","","Jardim Santa Marina",4595,26,-23.2944789,-45.9254646
12312610,"Rua Piér José Ibrahim","","Jardim Santa Marina",4595,26,-23.2951292,-45.9257194
12312615,"Rua Edmundo de Moraes","","Jardim Santa Marina",4595,26,-23.2946441,-45.9258196
12312620,"Rua Francisco Patrocínio","","Jardim Santa Marina",4595,26,-23.2943804,-45.9263815
12312625,"Rua Ercules Paulo Ribeiro","","Jardim Santa Marina",4595,26,-23.2938625,-45.9263944
12312630,"Rua Padre Jonas Traversin","","Jardim Santa Marina",4595,26,-23.2931907,-45.9261002
12312635,"Rua Paulo Roberto Galvão","","Jardim Santa Marina",4595,26,-23.2930176,-45.926857
12312640,"Rua Irmã Dorothy Mae Stang","(Irmã Dorothy)","Jardim Santa Marina",4595,26,-23.2987827,-45.9662542
12312645,"Rua Vitalino Soares Leite","","Jardim Santa Marina",4595,26,-23.2921715,-45.9272875
12312647,"Avenida João Lino Filho","","Jardim Santa Marina",4595,26,-23.2915122,-45.9269895
12312650,"Rua Olívia de Souza Leite","","Jardim Santa Marina",4595,26,-23.2919349,-45.9261938
12312655,"Rua José Antonio Matias","","Jardim Santa Marina",4595,26,-23.2987827,-45.9662542
12312660,"Rua Zelita Ruth da Silva Costa","","Jardim Santa Marina",4595,26,-23.2987827,-45.9662542
12312665,"Rua Professor Tarcísio Francisco Barbosa","","Jardim Santa Marina",4595,26,-23.2940937,-45.9251639
12312670,"Rua Manoel Truyts","","Jardim Santa Marina",4595,26,-23.2945037,-45.924946
12315000,"Avenida Orlando Marson","","Jardim Leblon",4595,26,-23.2987827,-45.9662542
12315010,"Rodovia Nilo Máximo","- de 3813/3814 ao fim","Jardim Colônia",4595,26,-23.2987827,-45.9662542
12315020,"Estrada Varadouro","","Jardim Colônia",4595,26,-23.3328656,-45.8841923
12315030,"Estrada Silvano","","Jardim Colônia",4595,26,-23.3273987,-45.9152104
12315040,"Rua Finlândia","","Jardim Colônia",4595,26,-23.3169016,-45.924252
12315060,"Rua Suécia","","Jardim Colônia",4595,26,-23.3156067,-45.9229493
12315070,"Rua Holanda","","Jardim Colônia",4595,26,-23.3165342,-45.9222842
12315080,"Rua Austrália","","Jardim Colônia",4595,26,-23.3173725,-45.9218841
12315090,"Rua Dinamarca","","Jardim Colônia",4595,26,-23.3187932,-45.9242355
12315100,"Rua Yugoslávia","","Jardim Colônia",4595,26,-23.3179575,-45.9222957
12315110,"Rua Tchecoslovaquia","","Jardim Colônia",4595,26,-23.3185525,-45.9226132
12315120,"Rua Alemanha","","Jardim Colônia",4595,26,-23.3192744,-45.9205371
12315130,"Rua Tailândia","","Jardim Colônia",4595,26,-23.3192744,-45.9205371
12315140,"Rua Bruxelas","","Jardim Colônia",4595,26,-23.3199333,-45.9192814
12315150,"Rua Escócia","","Jardim Colônia",4595,26,-23.3227045,-45.9185015
12315160,"Rua Áustria","","Jardim Colônia",4595,26,-23.3233915,-45.9184542
12315170,"Rua Polônia","","Jardim Colônia",4595,26,-23.3235853,-45.9192405
12315180,"Rua Paraguai","","Jardim Colônia",4595,26,-23.3234577,-45.9201246
12315190,"Rua Silvano","","Jardim Colônia",4595,26,-23.3238264,-45.9175195
12315200,"Rua Venezuela","","Jardim Colônia",4595,26,-23.3229462,-45.9210226
12315210,"Rua Israel","","Jardim Colônia",4595,26,-23.3224913,-45.920398
12315220,"Rua Irlanda","","Jardim Colônia",4595,26,-23.3222317,-45.9215983
12315230,"Rua Equador","","Jardim Colônia",4595,26,-23.3217398,-45.9220988
12315240,"Rua Portugal","","Jardim Colônia",4595,26,-23.3213291,-45.9210871
12315250,"Rua Egito","","Jardim Colônia",4595,26,-23.320708,-45.9213782
12315260,"Rua Canadá","","Jardim Colônia",4595,26,-23.3213785,-45.9229525
12315270,"Rua Romênia","","Jardim Colônia",4595,26,-23.3191237,-45.9214035
12315280,"Rua Síria","","Jardim Colônia",4595,26,-23.3199247,-45.9217835
12315290,"Rua Rússia","","Jardim Colônia",4595,26,-23.320578,-45.9229512
12315300,"Rua África","","Jardim Colônia",4595,26,-23.3199132,-45.9231394
12315310,"Rua Espanha","","Jardim Colônia",4595,26,-23.3199132,-45.9231394
12315320,"Rua China","","Jardim Colônia",4595,26,-23.3195709,-45.9237692
12315330,"Viela Cinco","","Jardim Colônia",4595,26,-23.3222965,-45.9263934
12315450,"Praça das Açucenas","","Jardim Santo Antônio da Boa Vista",4595,26,-23.3222255,-45.9257802
12315451,"Avenida Elídia Pires de Siqueira","","Jardim Leblon",4595,26,-23.2987827,-45.9662542
12315460,"Rua das Nenufas","","Jardim Santo Antônio da Boa Vista",4595,26,-23.3218391,-45.9257113
12315470,"Praça das Palmeiras","","Jardim Santo Antônio da Boa Vista",4595,26,-23.3224291,-45.9258397
